xc,yc,zc,dip,dipdir,size,set
0.6192,-4.7787,-1.1289,70.53,99.70,0.8473,1
-0.7033,2.3866,-1.4117,73.19,136.95,0.5236,1
-0.1927,2.5989,2.2183,69.69,100.02,1.0975,1
0.9260,1.1895,-0.0635,72.10,100.70,2.7208,1
0.3342,1.4343,3.1445,73.41,126.71,0.5456,1
0.0487,-4.4427,0.8767,68.21,140.13,1.0598,1
-0.9023,0.1019,-0.2493,71.05,123.54,1.1849,1
0.6903,3.5199,1.2791,69.80,131.88,1.3022,1
-0.2478,-1.0466,-1.2936,70.54,130.63,0.8995,1
-0.8901,3.8501,-0.4775,69.30,147.49,0.5563,1
0.1591,-0.5308,0.3591,71.73,102.76,1.0660,1
0.7080,1.3971,0.1289,68.28,126.47,2.5431,1
0.2992,-1.7504,1.6808,71.51,108.59,0.8798,1
0.6880,-3.4717,0.0087,72.13,139.18,1.0636,1
0.6449,-1.1236,-3.9397,73.59,127.18,2.8654,1
-0.6764,1.6094,-0.6620,74.66,131.36,1.3913,1
0.2726,1.9223,-1.1261,71.59,122.75,1.1100,1
0.9415,4.6612,-1.6136,68.18,116.16,0.9459,1
-0.0124,-2.1023,-3.5331,70.81,117.92,0.8427,1
0.8461,0.2226,-0.2901,69.33,101.52,1.0712,1
0.1930,0.9616,3.3195,68.63,105.23,0.8764,1
0.6959,3.4991,-2.5520,69.14,106.15,1.0660,1
-0.4946,2.2712,0.1870,70.56,107.62,0.9591,1
0.2623,-1.4864,-3.4575,72.09,135.32,0.5474,1
-0.4877,0.7945,3.6117,67.08,117.63,2.1404,1
-0.1539,-1.7240,-2.1657,69.54,102.11,2.4287,1
0.0126,0.8814,3.4878,70.49,125.48,0.5683,1
0.5600,2.4380,-1.6203,68.47,96.80,0.7031,1
0.3175,3.2455,0.8728,69.63,116.09,2.1165,1
0.6262,2.3530,3.5994,69.80,143.11,0.6875,1
-0.8068,3.1250,3.8307,24.79,293.37,0.9186,2
-0.9991,2.8404,0.0742,24.74,329.72,0.6015,2
-0.0851,-2.7061,0.1919,20.23,285.14,1.0346,2
-0.4473,-0.6982,-2.9253,13.46,289.92,1.3715,2
0.1122,-1.3630,-1.5954,22.69,286.95,0.7017,2
0.5697,-3.1725,0.6834,14.83,292.00,1.3453,2
-0.1438,1.5095,-1.7618,21.59,299.40,0.9710,2
0.5394,-0.6471,-3.6474,18.91,291.75,3.1391,2
-0.7302,-2.2970,-0.4357,24.07,286.48,0.9131,2
-0.5275,2.9530,3.9975,27.18,311.78,0.9499,2
-0.0673,0.8537,-3.7052,16.63,283.79,2.2090,2
-0.5824,-1.8105,2.2586,19.43,289.64,1.5809,2
0.4689,-1.5346,-2.5050,21.87,284.82,2.8482,2
-0.8051,4.2852,2.3691,23.55,282.97,2.3616,2
-0.9243,-1.2029,-2.7981,20.34,283.70,0.6918,2
-0.2900,-3.1869,1.6689,24.97,300.10,3.2655,2
0.2041,-1.2607,-2.0424,18.19,301.79,2.2041,2
-0.3483,-0.5626,-0.7173,23.05,284.43,2.8906,2
-0.6332,3.6239,-3.1616,21.28,313.86,1.0452,2
-0.2930,2.2312,-0.1059,22.39,270.37,0.8423,2
0.9637,-2.1917,0.5275,18.32,302.86,2.9778,2
-0.1924,2.8786,2.3450,20.29,306.53,3.8624,2
-0.3022,2.0594,3.3911,17.25,290.54,0.8900,2
0.6203,2.8087,2.6467,17.39,288.76,3.3689,2
-0.3170,-0.9419,-3.0182,19.80,272.77,1.7101,2
-0.2975,-3.5250,0.4301,20.29,287.56,1.1945,2
0.3789,4.0440,-3.5421,19.49,293.04,1.7367,2
-0.8863,1.5839,2.5763,19.85,303.29,0.6851,2
0.0863,3.2042,-3.2094,21.02,312.68,1.4641,2
-0.0305,-4.8786,-2.3170,25.05,293.13,1.3509,2
0.0852,-4.0867,-2.7876,13.97,314.12,0.9265,2
0.5468,-3.9620,1.6369,20.13,310.39,2.7558,2
-0.3552,3.0907,-2.0568,21.97,303.01,1.0337,2
-0.4832,-2.2279,1.3484,18.54,305.20,0.6798,2
0.5406,-4.0211,-2.5262,14.24,305.87,0.7117,2
-0.4369,0.8369,-0.1496,20.40,303.95,0.6108,2
0.7676,0.6663,-2.3017,13.78,303.65,1.1076,2
-0.3223,2.5420,-2.2437,18.84,282.16,0.9172,2
0.6978,-4.7423,-1.0745,23.31,309.37,1.4281,2
-0.9574,1.5115,3.2078,25.54,301.53,0.6669,2
-0.9930,-3.8447,3.2260,22.24,301.66,1.8670,2
0.7110,2.6820,2.5323,23.27,292.38,3.5074,2
0.9949,-2.9630,-2.5210,26.31,306.41,0.9580,2
0.2264,-1.1649,3.3837,19.78,297.17,2.6994,2
0.5797,-2.5441,-0.9939,18.28,303.57,0.7499,2
-0.5345,3.3469,-1.1351,17.23,304.92,2.2950,2
-0.9994,1.5589,-2.3716,20.41,299.63,3.2659,2
0.8947,1.7880,-0.5796,24.65,293.88,1.2413,2
-0.1243,1.1722,1.1356,17.97,307.90,1.8037,2
-0.8352,4.3420,-0.5169,17.05,304.82,0.6393,2
-0.1341,-2.2381,2.6975,24.93,294.96,1.8764,2
-0.0696,-3.4664,-1.1951,14.63,291.11,1.1872,2
-0.5393,-0.6872,1.4099,21.64,298.27,2.8226,2
-0.0790,-1.0575,2.1583,17.47,290.87,1.6693,2
0.2632,-4.9200,-1.9214,24.58,296.87,2.6897,2
0.7831,-0.7536,-3.1667,20.13,300.27,3.5435,2
-0.6817,-2.0973,1.7837,16.57,288.71,1.2788,2
-0.6737,2.3126,-2.2784,18.67,310.06,2.0867,2
-0.9355,4.3562,2.5858,21.03,305.04,0.9964,2
-0.5263,-0.9672,0.0412,16.44,314.13,3.1709,2
-0.5192,1.1971,3.4747,21.62,312.20,2.2409,2
-0.9054,-0.6339,-2.6536,20.91,311.80,2.5067,2
-0.1292,4.7181,2.5559,21.02,290.67,1.1303,2
-0.0863,4.4957,1.5435,22.07,292.19,2.0699,2
-0.7049,3.2447,-3.8880,22.95,302.88,1.0331,2
-0.9438,1.9530,-0.4705,16.97,280.01,2.0765,2
-0.5227,0.8074,-2.6378,22.51,290.32,3.4196,2
-0.2612,-3.3041,3.5545,14.49,285.62,2.4057,2
-0.1677,-2.8326,0.5397,19.60,316.08,1.8938,2
-0.4119,4.7632,1.4761,23.76,306.10,2.2652,2
